Original|Swapped_To|Type
Love Crime|Love on the Run|title
Love Don't Cost a Thing|Wild Reeds|title
Love Field|Searching for Debra Winger|title
Love Finds Andy Hardy|Happily N'Ever After|title
Love Happens|Metroland|title
Love Happy|Feed|title
Love Is All There Is|Now, Voyager|title
Love Is All You Need|The Ashes|title
Love Is Eternal While It Lasts|Texas Across the River|title
Love Is News|Flodder|title
Love Is Strange|Mother Wore Tights|title
Love Is a Many-Splendored Thing|Down to You|title
Love Jones|Texas|title
Love Letter|Seven Men from Now|title
Love Letters|Every Man for Himself|title
Love Liza|I Declare War|title
Love Me If You Dare|Batman Forever|title
Love Me No More|Bernard and Doris|title
Love Me Tender|The Escape Artist|title
Love Me Tonight|King of Thorn|title
Love Me or Leave Me|Seven Girlfriends|title
Love Meetings|The Jacket|title
Love Object|Eaten Alive|title
Love Potion No. 9|Fog Over Frisco|title
Love Ranch|Cannibal Holocaust|title
Love Serenade|The Prophecy|title
Love Sick|The Ring Two|title
Love Simple|The Whisperers|title
Love Songs|My Old Lady|title
Love Stinks|2 Days in New York|title
Love Story|Hotel Transylvania|title
Love Story 2050|My Awkward Sexual Adventure|title
Love Streams|Tony Takitani|title
Love Walked In|Pixote|title
Love Wrecked|The Waterdance|title
Love and Anarchy|Yves Saint Laurent|title
Love and Bullets|Helen of Troy|title
Love and Death|Life is to Whistle|title
Love and Death on Long Island|Holiday Affair|title
Love and Honor|Death of a Dynasty|title
Love and Other Catastrophes|The Dogs of War|title
Love and Other Troubles|American Hardcore|title
Love and Pain and the Whole Damn Thing|South Central|title
Love and a .45|Modern Romance|title
Love and a Bullet|Keeping Mum|title
Love at First Bite|Whisky|title
Love at Large|A Film with Me in It|title
Love in the Afternoon|One-Eyed Monster|title
Love in the Time of Cholera|Winds of the Wasteland|title
Love on the Run|The Cat Came Back|title
Love with the Proper Stranger|Lawless|title
Love! Valour! Compassion!|The Dead Girl|title
Love's Kitchen|The Dark Mirror|title
Love's Labour's Lost|Renaissance|title
Love's Long Journey|No One Lives|title
Love, Marilyn|Valmont|title
Love, Rosie|Someday This Pain Will Be Useful to You|title
Love, Wedding, Marriage|Destry Rides Again|title
Lovelace|Sword of the Beast|title
Loveleen Tandan|Valentijn Dhaenens|person_name
Lovely Molly|A Golden Christmas|title
Lovely to Look At|American Mary|title
Lovely, Still|Berlin Calling|title
Lover Come Back|Goodbye, Columbus|title
Loverboy|Wheels on Meals|title
Lovers and Lollipops|Five|title
Lovers and Other Strangers|The Hangover|title
Lovers of the Arctic Circle|Paranormal Activity|title
Lovesick|Petulia|title
Lovi Poe|Maeve Jinkings|person_name
Loving|The Haunting|title
Loving Annabelle|We're Back! A Dinosaur's Story|title
Loving Leah|Baarìa|title
Loving You|Children's Island|title
Lowell Cunningham|Jean Rollin|person_name
Lowell Dean|Tom Russell|person_name
Lowell Ganz|Erykah Badu|person_name
Lowell S. Hawley|Antonio Macia|person_name
Lowell Sherman|Andrew Neel|person_name
Lower City|Child of Rage|title
Lt. Robin Crusoe, U.S.N.|Beyond Justice|title
Luana Anders|Frank S. Nugent|person_name
Luana Piovani|Brad Ingelsby|person_name
Luandino Vieira|Noriko Matsumoto|person_name
Luc Besson|Lenny Juliano|person_name
Luc Bossi|Juliette Gréco|person_name
Luc Dardenne|Kurt Norton|person_name
Luc Jacquet|Károly Makk|person_name
Luc Merenda|Philip Davis|person_name
Luc Roeg|Jude Law|person_name
Luca Barbareschi|Paco Casaus|person_name
Luca Fazzi|Edith Fellows|person_name
Luca Guadagnino|Lena Headey|person_name
Lucas|Saint Laurent|title
Lucas Belvaux|Buzz Kulik|person_name
Lucas Black|Dinara Drukarova|person_name
Lucas Grabeel|Marie Pérennou|person_name
Lucas Roche|Lance Daly|person_name
Lucas Sussman|Neil B. Shulman|person_name
Luchino Visconti|Pascal Lainé|person_name
Lucia|The Keep|title
Lucian Pintilie|Achim von Arnim|person_name
Luciana Pedraza|Grace Moore|person_name
Luciano Vincenzoni|William Katt|person_name
Lucie Arnaz|Peter Duffell|person_name
Lucie Aubrac|Confessions of a Dangerous Mind|title
Lucien Hubbard|Sophie Nélisse|person_name
Lucille Ball|Sam Wanamaker|person_name
Lucille Benson|Maurice Elvey|person_name
Lucille Bremer|Jacques Rivette|person_name
Lucille Fletcher|Peggie Castle|person_name
Lucille Norman|Monica Calhoun|person_name
Lucinda Coxon|David Roberts|person_name
Lucinda Jenney|Stephanie Rothman|person_name
Lucio Fulci|M. Emmet Walsh|person_name
Luck by Chance|Brown's Requiem|title
Lucky|Hell Up in Harlem|title
Lucky 7|The Wild Bunch|title
Lucky Break|Desperately Seeking Susan|title
Lucky Jordan|The Dolly Sisters|title
Lucky Lady|City of Men|title
Lucky McKee|Sung Kang|person_name
Lucky Night|Conan the Barbarian|title
Lucky Number Slevin|Cat Ballou|title
Lucky Numbers|Mary|title
Lucky Star|Do Not Disturb|title
Lucky Them|Kounterfeit|title
Lucky You|The Normal Heart|title
Lucrecia Martel|Rosie O'Donnell|person_name
Lucrezia Borgia|Painted Skin|title
Lucy|Farinelli|title
Lucy Alibar|Frederick Combs|person_name
Lucy Bell|Geraldine Chaplin|person_name
Lucy Deakins|Lola Falana|person_name
Lucy Fry|Christopher Morley|person_name
Lucy Hale|Fay Bainter|person_name
Lucy Irvine|Fred Olen Ray|person_name
Lucy Liu|Grant Morrison|person_name
Lucy M. Boston|David Brin|person_name
Lucy Maud Montgomery|Anthony DeSando|person_name
Lucy Punch|Richard Russo|person_name
Lucy Walker|Garrett Fort|person_name
Lucía Puenzo|Anthony Mann|person_name
Lucía, Lucía|Ice Princess|title
Ludacris|Maureen Mylander|person_name
Ludivine Sagnier|Jeffrey Price|person_name
Ludmilla Tchérina|Claudio Brook|person_name
Ludovic Halévy|Vern J. Sneider|person_name
Ludovic Houplain|Lewis John Carlino|person_name
Ludovic Kennedy|Ömer Faruk Sorak|person_name
Ludwig|How I Live Now|title
Ludwig Bemelmans|Thomas Schlamme|person_name
Ludwig Berger|Ethel Barrymore|person_name
Ludwig Metzger|Malvin Wald|person_name
Ludwig Wolff|Lindsay Crouse|person_name
Luigi Bartolini|Kornél Mundruczó|person_name
Luigi Bazzoni|Johanna Harwood|person_name
Luigi Comencini|Terrence McNally|person_name
Luigi Cozzi|Kelly Sheridan|person_name
Luigi Falorni|Rudy Vallee|person_name
Luigi Pistilli|Aline MacMahon|person_name
Luigi Zampa|Richard Neely|person_name
Luis Alberni|Mabrouk El Mechri|person_name
Luis Alfaro|Vincent Garenq|person_name
Luis Buñuel|Barbara Baxley|person_name
Luis Figueroa|Knut Berger|person_name
Luis García Berlanga|Francesca Gregorini|person_name
Luis Guzmán|Tom Ackermann|person_name
Luis Llosa|Xavier Samuel|person_name
Luis Mandoki|Charles Jarrott|person_name
Luis Margani|Jamie Blanks|person_name
Luis Piedrahita|Ousmane Sembene|person_name
Luis Prieto|Brendan Fraser|person_name
Luis Puenzo|Guy Trosper|person_name
Luis Roberto Guzmán|Carlos Bolado|person_name
Luis Tosar|Karina Smulders|person_name
Luis Ugaz|Aristomenis Tsirbas|person_name
Luis Valdez|Kath Soucie|person_name
Luisa Williams|Robert Adetuyi|person_name
Luise Rainer|Kenneth S. Webb|person_name
Luiz Bolognesi|Eileen Heckart|person_name
Luiz Carlos Vasconcelos|Scott Thorson|person_name
Luiz Eduardo Soares|Hallee Hirsh|person_name
Luiz Fernando Carvalho|Debby Ryan|person_name
Luiz Fernando Guimarães|Bunta Sugawara|person_name
Lukas Haas|Andrew Douglas|person_name
Lukas Heller|Robert Pattinson|person_name
Lukas Moodysson|Louise Fazenda|person_name
Luke Albright|Jane Bryan|person_name
Luke Askew|Peter McEnery|person_name
Luke Benward|Louis Jouvet|person_name
Luke Bracey|Rolf Hädrich|person_name
Luke Davies|Michael Thomas|person_name
Luke Edwards|Sean Bean|person_name
Luke Evans|Faye Emerson|person_name
Luke Ford|Alan B. McElroy|person_name
Luke Goss|Madeline Kahn|person_name
Luke Greenfield|Liz Renay|person_name
Luke Grimes|Tom Provost|person_name
Luke Harding|Daniel Ford|person_name
Luke Hemsworth|Debbon Ayer|person_name
Luke Kirby|Amanda Root|person_name
Luke Kleintank|Alvin Moscow|person_name
Luke Mably|William H. Macy|person_name
Luke Matheny|Norah Baring|person_name
Luke Meyer|Renny Harlin|person_name
Luke Perry|Don DeLillo|person_name
Luke Ricci|Alain Resnais|person_name
Luke Short|Travis Schuldt|person_name
Luke Treadaway|Candace Cameron Bure|person_name
Luke Wilson|Sara Maitland|person_name
Lullaby|Road to Singapore|title
Lulu on the Bridge|Rolling|title
Luminita Gheorghiu|Nicholas Shakespeare|person_name
Lumumba|Swing Vote|title
Luna Papa|Singham|title
Lunopolis|Norma Rae|title
Lupe Ontiveros|Giddens Ko|person_name
Lured|Genghis Blues|title
Lust for Gold|Deep Rising|title
Lust for Life|Baby Boom|title
Lust for Love|Alpha and Omega|title
Lust, Caution|Destiny Turns on the Radio|title
Luster|Music from Another Room|title
Luther|Balto|title
Luther Adler|Giulio Petroni|person_name
Luther Davis|Mayo Simon|person_name
Luther the Geek|Meet Dave|title
Luv|Boy Eats Girl|title
Luv Ranjan|Karine Vanasse|person_name
Lya De Putti|Busta Rhymes|person_name
Lydia Leonard|Coco Martin|person_name
Lyle Bettger|Xavier Picard|person_name
Lyle Saxon|Bill Goldberg|person_name
Lyle Talbot|Kim Leona|person_name
Lyman Dayton|Daniel Quinn|person_name
Lymelife|The Swan|title
Lyn Vaus|Joseph Conrad|person_name
Lynda Steadman|Felix Aylmer|person_name
Lyndall Hobbs|Guy Gibson|person_name
Lyndon Chubbuck|Budd Boetticher|person_name
Lyndsy Fonseca|David Chase|person_name
Lynette Curran|Randall Jahnson|person_name
Lynette Harris|Steven Blush|person_name
Lynn Barber|David Foenkinos|person_name
Lynn Carlin|Jules Eckert Goodman|person_name
Lynn Chen|Tyler Mitchell|person_name
Lynn Collins|Charles Farrell|person_name
Lynn Redgrave|John Taylor|person_name
Lynn Riggs|Paolo Giordano|person_name
Lynn Root|Dagmar Manzel|person_name
Lynn Roth|Harold Owen|person_name
Lynn Shelton|Eszter Balint|person_name
Lynn Varley|Sabrina Scharf|person_name
Lynn Vincent|Howard Koch|person_name
Lynn Whitfield|Neva Friedenn|person_name
Lynne Frederick|Michael Anderson|person_name
Lynne Littman|William Asher|person_name
Lynne Ramsay|Eric Bercovici|person_name
Lynne Reid Banks|David Gallagher|person_name
Lynne Southerland|Nicolas Cowan|person_name
Lynne Stopkewich|Rudolph Maté|person_name
Lynne Thigpen|Sheila Kohler|person_name
Lysette Anthony|Martin Clunes|person_name
Lyudmila Gurchenko|Marc Fienberg|person_name
László Kardos|Peggy Webling|person_name
László Krasznahorkai|Sam Firstenberg|person_name
Lázaro Gómez Carriles|Mickey Rose|person_name
Léa Drucker|Bashar Rahal|person_name
Léa Pool|Jane March|person_name
Léa Seydoux|Toshiyuki Nishida|person_name
Léolo|Incendies|title
Léon Morin, Priest|Compagni di scuola|title
Léopold Marchand|Max Minghella|person_name
Lívia Falcão|Joseph Kesselring|person_name
M|The Man with Two Brains|title
M. Blash|Cuba Gooding Jr.|person_name
M. Butterfly|I Remember Mama|title
M. Coates Webster|John Buchan|person_name
M. Emmet Walsh|Björn Stein|person_name
M. Night Shyamalan|Mary Gallagher|person_name
M. Ward|Chris Warfield|person_name
MASH|Interview|title
Maarten Spanjer|Marilyn Durham|person_name
Mabel Normand|Margaret Kennedy|person_name
Mabel's Married Life|Safe|title
Maborosi|Inserts|title
Mabrouk El Mechri|Wayne Wang|person_name
Mac|Collateral|title
Mac Benoff|Roy Andersson|person_name
Mac Carter|Brad Bird|person_name
Mac Davis|Huck Botko|person_name
Mac and Me|The Real Blonde|title
MacArthur|Johnny Guitar|title
MacGruber|The World of Suzie Wong|title
MacKinlay Kantor|Fred Dekker|person_name
Macabre|The Simple Life of Noah Dearborn|title
Macao|Homecoming|title
Macario|Life During Wartime|title
Macaulay Culkin|Andrew Motion|person_name
Macbeth|Wagon Master|title
Macdonald Carey|Ezra Buzzington|person_name
Macha Grenon|Roger Mutton|person_name
Machete|The Matador|title
Machete Kills|Siddhartha|title
Machibuse|Election|title
Machiko Ono|Hugh Beaumont|person_name
Machine Gun McCain|Joe|title
Machine Gun Preacher|Out of the Fog|title
Machine-Gun Kelly|The Girl from Monday|title
Machuca|The Detective|title
Maciej Dejczer|Ellen Page|person_name
Mack Crane|Mitch Markowitz|person_name
Mack Swain|Caroline Ip|person_name
Mack V. Wright|Armand Assante|person_name
Mackenna's Gold|Cowboy|title
Mackenzie Astin|Samantha Robson|person_name
Mackenzie Crook|Lisa London|person_name
Macon Blair|Horst Buchholz|person_name
Macon County Line|Lady in the Lake|title
Mad About Mambo|Music and Lyrics|title
Mad City|Welcome to New York|title
Mad Detective|Maladolescenza|title
Mad Dog Time|Pieces of April|title
Mad Dog and Glory|Unconditional Love|title
Mad Hot Ballroom|Betrayed|title
Mad Love|Mirrors|title
Mad Max|Frailty|title
Mad Max Beyond Thunderdome|Any Day Now|title
Mad Money|American Yakuza|title
Madadayo|Mon oncle Antoine|title
Madagascar|The International|title
Madagascar Skin|Love and a Bullet|title
Madam Satan|Geronimo|title
Madame Bovary|Three Brothers|title
Madame Curie|Downloading Nancy|title
Madame Rosa|Calle 54|title
Madame Satã|The Wonderful, Horrible Life of Leni Riefenstahl|title
Madame Sin|Mad Max Beyond Thunderdome|title
Madame Sousatzka|For Love of Ivy|title
Madame de La Fayette|Unrest|title
Made|I'm Here|title
Made for Each Other|Map of the Human Heart|title
Made in America|The Curse of Frankenstein|title
Made in Britain|Sextette|title
Made in Dagenham|Athena|title
Made in Heaven|Kotch|title
Made in Hong Kong|Shadows in Paradise|title
Made of Honor|Waxwork|title
Madea Goes to Jail|Three of Hearts|title
Madea's Big Happy Family|Fire Over England|title
Madea's Family Reunion|The Frozen Ghost|title
Madea's Witness Protection|Bad Moon|title
Madeinusa|Come to the Stable|title
Madeleine|Cromwell|title
Madeleine Bourdouxhe|Steven Duffy|person_name
Madeleine Carroll|Kathrine Narducci|person_name
Madeleine Martin|Jorge Bolani|person_name
Madeleine Ozeray|Adam Abraham|person_name
Madeleine Potter|John Wesley Hardin|person_name
Madeleine Renaud|Ciaran Owens|person_name
Madeleine Stowe|Elias Koteas|person_name
Madeline|Any Questions for Ben?|title
Madeline Carroll|Anna Bonacci|person_name
Madeline Kahn|Claire Keim|person_name
Madeline Smith|Michel Ocelot|person_name
Mademoiselle|Tatarak|title
Mademoiselle Chambon|Flags of Our Fathers|title
Madge Bellamy|Zachary Scott|person_name
Madge Evans|Timo Eränkö|person_name
Madge Kennedy|Jodi Thelen|person_name
Madge Sinclair|Langston Hughes|person_name
Madhabi Mukherjee|Leon Xanrof|person_name
Madhavan|Anton Corbijn|person_name
Madhouse|The Next Man|title
Madhur Bhandarkar|Mae Clarke|person_name
Madhur Jaffrey|Andrew Solt|person_name
Madhur Mittal|Joseph Green|person_name
Madhuri Dixit|Gary Whitta|person_name
Madigan|The Saint of Fort Washington|title
Madison|Taking Sides|title
Madison Avenue|Harsh Times|title
Madison Jones|Marisa Berenson|person_name
Madman|Going Places|title
Madonna|Jerome Cady|person_name
Madonna of the Seven Moons|You Can't Win 'Em All|title
Mads Brügger|Rex Reason|person_name
Mads Matthiesen|Derek Jarman|person_name
Mads Mikkelsen|Guillermo del Toro|person_name
Mads Ousdal|Tony Bancroft|person_name
Mady Christians|Matthew Weisman|person_name
Mae Busch|Pamela Franklin|person_name
Mae Clarke|Norma Aleandro|person_name
Mae West|Aaron Stanford|person_name
Mae Whitman|Robert Shallcross|person_name
Maeve Binchy|Lori March|person_name
Maeve Dermody|Alan Jay Lerner|person_name
Maeve Jinkings|Rube Goldberg|person_name
Mafioso|You Are the Apple of My Eye|title
Magadheera|Snake in the Eagle's Shadow|title
Magaly Solier|Scott Bakula|person_name
Magda Apanowicz|Tom Naughton|person_name
Maggie Carey|Marc S. Grenier|person_name
Maggie Cheung|Jessica Bendinger|person_name
Maggie Grace|Andrew V. McLaglen|person_name
Maggie Greenwald|Francis Szpiner|person_name
Maggie Gyllenhaal|Eliseo Subiela|person_name
Maggie Hatcher|Derek Luke|person_name
Maggie McNamara|Robert Cornthwaite|person_name
Maggie Q|Bernard Hill|person_name
Maggie Smith|Joshua Rudoy|person_name
Magic|Gandhi|title
Magic Magic|Park Row|title
Magic Man|A Haunting at Silver Falls|title
Magic Mike|The Gang's All Here|title
Magic Town|It's Alive|title
Magic Trip|Sergeant York|title
Magic in the Moonlight|Naked Childhood|title
Magic in the Water|The Crime of Monsieur Lange|title
Magicians|Sommersby|title
Magnificent Obsession|The Corn Is Green|title
Magnolia|A Map of the World|title
Magnum Force|They Call Me Renegade|title
Mahesh Bhatt|Blythe Danner|person_name
Mahesh Manjrekar|Godfrey Ho|person_name
Mahesh Nair|Jack McBrayer|person_name
Mahie Gill|Juno Temple|person_name
Mahima Chaudhry|Matthew Cole Weiss|person_name
Mahler|Felony|title
Mahnoor Baloch|Taylor Cole|person_name
Maho Nonami|Yvette Vickers|person_name
Mahogany|The Eddy Duchin Story|title
Mai Zetterling|Jeremy Iacone|person_name
Maia Brewton|Jay Russell|person_name
Maia Campbell|Elizabeth Daily|person_name
Maia Mitchell|Joanne Dru|person_name
Maiara Walsh|Veronica Roth|person_name
Maid in Manhattan|The Chase|title
Maid of Salem|Loaded|title
Maid to Order|Saturday the 14th|title
Maidie Norman|Atsuko Tanaka|person_name
Maika Monroe|Dominic Anciano|person_name
Mail Order Bride|Hell of the Living Dead|title
Main Hoon Na|Big Jim McLain|title
Main Prem Ki Diwani Hoon|For Ellen|title
Maja Ostaszewska|Heinz Herald|person_name
Majandra Delfino|Marco Bellocchio|person_name
Majid Majidi|Evan Rachel Wood|person_name
Major Barbara|Ladybugs|title
Major Dundee|The Invention of Lying|title
Major League|Flaming Creatures|title
Major League II|3 Ring Circus|title
Major Payne|The White Reindeer|title
Make It Happen|The Runaways|title
Make Way for Tomorrow|Jack the Giant Slayer|title
Make Your Move|Faithless|title
Make the Yuletide Gay|Tomorrow Never Dies|title
Makiko Esumi|Takashi Shimizu|person_name
Making Love|21 Jump Street|title
Making Mr. Right|The Unfaithful Wife|title
Making Plans for Lena|Il Sorpasso|title
Making the Grade|The Beast from 20,000 Fathoms|title
Makinov|Vincenzo Natali|person_name
Mako|Béatrice Dalle|person_name
Makoto Shinkai|Christoph Schrewe|person_name
Mala Noche|Mr. Wrong|title
Mala Powers|Jonathan Berman|person_name
Malachi Smyth|Jason Connery|person_name
Maladolescenza|Drona|title
Malaya|Good Guys Wear Black|title
Malcolm Campbell|José Mojica Marins|person_name
Malcolm Clarke|Giovanni Pastrone|person_name
Malcolm D. Lee|Lance Comfort|person_name
Malcolm Ingram|David Ely|person_name
Malcolm Johnson|Nanette Burstein|person_name
Malcolm Keen|Ben Hollingsworth|person_name
Malcolm Kohll|Thomas Job|person_name
Malcolm Leo|Gilles Perrault|person_name
Malcolm Lowry|L. Frank Baum|person_name
Malcolm Marmorstein|Niall MacCormick|person_name
Malcolm McDowell|Julie Depardieu|person_name
Malcolm McFee|Anne Crawford|person_name
Malcolm Mowbray|James C. Strouse|person_name
Malcolm St. Clair|Catherine Spaak|person_name
Malcolm Stumpf|Yami Gautam|person_name
Malcolm Venville|Dan O'Herlihy|person_name
Malcolm X|A Storm in Summer|title
Male and Female|Dante's Inferno|title
Maledetto il giorno che t'ho incontrato|Dead Man|title
Maleficent|Timecrimes|title
Malerie Grady|Sanaa Hamri|person_name
Malgorzata Szumowska|Ruggero Maccari|person_name
Malia Scotch Marmo|Meaghan Martin|person_name
Malibu High|Dancers|title
Malibu's Most Wanted|Mystics in Bali|title
Malice|Phantom Lady|title
Malice in Wonderland|Experiment Perilous|title
Malik Bendjelloul|Anna Faris|person_name
Malik Yoba|Willard Parker|person_name
Malin Akerman|Hoagy Carmichael|person_name
Mallika Sherawat|Clifford Green|person_name
Mallrats|The Deadly Tower|title
Malone|The Method|title
Malvin Wald|David Soren|person_name
Malèna|The Sin of Harold Diddlebock|title
Malú Tarrau Broche|Art Linson|person_name
Mama|My Son the Fanatic|title
Mama's Boy|Pandora's Promise|title
Mami Koyama|Sean Harris|person_name
Mamie Gummer|Dougray Scott|person_name
Mamie Van Doren|Cody Cameron|person_name
Mamma Mia!|Masti|title
Mamma Roma|Brazilian Western|title
Mammoth|Day Night Day Night|title
Mammuth|Things Are Tough All Over|title
Mammy|Soul Kitchen|title
Mamoru Hosoda|Steven Pearl|person_name
Mamoru Oshii|Lawrence Gray|person_name
Man About Town|Madame Rosa|title
Man Bites Dog|The Ultimate Gift|title
Man Exposed|The Gold Rush|title
Man Facing Southeast|The Last Song|title
Man Hunt|The Subject Was Roses|title
Man Push Cart|Mohabbatein|title
Man San Lu|Juliet Mills|person_name
Man Trouble|Is Paris Burning?|title
Man at Bath|Savior|title
Man in the Chair|Jude|title
Man in the Saddle|Four Eyed Monsters|title
Man in the Wilderness|Combat Shock|title
Man of Aran|Afflicted|title
Man of Iron|The Last Picture Show|title
Man of La Mancha|A Wedding|title
Man of Marble|Diary of a Chambermaid|title
Man of Steel|The Lion King|title
Man of Tai Chi|Cellular|title
Man of a Thousand Faces|A Screaming Man|title
Man of the Century|Blues Harp|title
Man of the East|Spread|title
Man of the House|The Long Dark Hall|title
Man of the Moment|Butter|title
Man of the West|Roommates|title
Man of the World|Indiana Jones and the Kingdom of the Crystal Skull|title
Man of the Year|Melvin and Howard|title
Man on Fire|Paranormal Activity 3|title
Man on Wire|Wild Animals|title
Man on a Ledge|Cars|title
Man on the Moon|A Woman's Face|title
Man to Man|John Q|title
Man with the Gun|Portrait Werner Herzog|title
Man with the Screaming Brain|The More the Merrier|title
Man's Best Friend|The Night Walker|title
Man's Castle|Last Year at Marienbad|title
Man's Favorite Sport?|Wild Gals of the Naked West|title
Man-Proof|Bigfoot|title
Man-Thing|The Good Mother|title
Management|Hot Shots!|title
Manal Khader|Stephen Berra|person_name
Manderlay|The Naked Spur|title
Mandie Fletcher|Herman Brusselmans|person_name
Mandingo|Invisible Waves|title
Mandy Moore|Janet Grillo|person_name
Mandy Musgrave|Mika Kaurismäki|person_name
Mandy Patinkin|Michael Glawogger|person_name
Manfred Gregor|Guillaume Canet|person_name
Manhattan|De Dana Dan|title
Manhattan Baby|Scarface|title
Manhattan Melodrama|carl sagan|title
Manhattan Murder Mystery|Iron Monkey|title
Manhunt|Return of the Fly|title
Manhunter|Six Ways to Sunday|title
Mani Haghighi|Linden Ashby|person_name
Mani Ratnam|Dylan Mohan Gray|person_name
Mania Akbari|Anna Hutchison|person_name
Maniac|The Ice Pirates|title
Maniac Cop|Cherry Falls|title
Maniac Cop 2|Mouth to Mouth|title
Manic|French Kiss|title
Manie Malone|Casper Christensen|person_name
Manish Acharya|Roland Reber|person_name
Manish Dayal|Devin DeVasquez|person_name
Manisha Koirala|Hervey Allen|person_name
Manisha Korde|Anthony Johnson|person_name
Manito|Ocean's 11|title
Manmohan Desai|Cung Le|person_name
Mann Rubin|Wolfgang Murnberger|person_name
Mann tut was Mann kann|The Long Good Friday|title
Mannequin|In This Our Life|title
Mannie Manheim|Fabrice Eboué|person_name
Manny Coto|Humphrey Bogart|person_name
Manny Perez|Tomas Young|person_name
Manoel de Oliveira|Bernard Malamud|person_name
Manoj Joshi|Eiko Matsuda|person_name
Manolo Cardona|Nicole Kassell|person_name
Manolo Morán|Gastón Pauls|person_name
Manrape|The Vanishing|title
Mansfield Park|Avanti!|title
Mansome|The SpongeBob SquarePants Movie|title
Manson|Defenseless|title
Mantan Moreland|Brett Piper|person_name
Mantrap|She Wouldn't Say Yes|title
Manuel Carballo|Gregory McDonald|person_name
Manuel Gómez Pereira|Scot Armstrong|person_name
Manuel Komroff|George Lazenby|person_name
Manuel Manquiña|Bruce Jones|person_name
Manuel Poirier|Michelle Fairley|person_name
Manuel Puig|Greg Timmermans|person_name
Manuel Seff|Charlotte Riley|person_name
Manuel Sicilia|June Duprez|person_name
Many Rivers to Cross|Europe '51|title
Mao's Last Dancer|Gattaca|title
Map of the Human Heart|Beverly Hills Cop II|title
Map of the Sounds of Tokyo|The Fly II|title
Maps to the Stars|Connie and Carla|title
Mara Corday|Darragh Byrne|person_name
Mara Hobel|Simo Salminen|person_name
Mara Leveritt|Shannon Elizabeth|person_name
Mara Wilson|Buddy Hackett|person_name
Maradona, the Hand of God|Meet the Parents|title
Marat/Sade|Hammer of the Gods|title
Marathon Man|Leaving|title
Marc Abdelnour|Keiko Nobumoto|person_name
Marc Abraham|Richard Chamberlain|person_name
Marc Allégret|William L. White|person_name
Marc Barbé|Conor Horgan|person_name
Marc Behm|Charles Brackett|person_name
Marc Blucas|Burt Balaban|person_name
Marc Brandel|Keoni Waxman|person_name
Marc Caro|Philip Gilbert|person_name
Marc Conklin|John N. Carter|person_name
Marc Connelly|Kunihiko Mitamura|person_name
Marc Donato|Tom Baker|person_name
Marc Evans|Susan Seidelman|person_name
Marc Fienberg|Charlie Kaufman|person_name
Marc Forster|Paul Reiser|person_name
Marc Guggenheim|Anders Rønnow Klarlund|person_name
Marc Gunther|Zac Stanford|person_name
Marc Hayashi|Irwin Winkler|person_name
Marc Klein|Jeremy Child|person_name
Marc Labrèche|Ed Sullivan|person_name
Marc Lavoine|Bernie Goldmann|person_name
Marc Lawrence|Judith Haspel|person_name
Marc Levin|Sarah Williams|person_name
Marc Moss|Matthias Hoene|person_name
Marc Norman|Jüri Järvet|person_name
Marc Price|Jack Finney|person_name
Marc Reid Rubel|Jena Malone|person_name
Marc Rocco|François Boulay|person_name
Marc Rosenberg|Rhona Mitra|person_name
Marc Rosenbush|Harold Robbins|person_name
Marc Rothemund|Shane Harper|person_name
Marc S. Grenier|Dominic West|person_name
Marc Schölermann|Roxane Mesquida|person_name
Marc Silverstein|Jack Hazan|person_name
Marc Singer|Michaël Cohen|person_name
Marc Syrigas|Johanna Sinisalo|person_name
Marc Tulin|Umberto Contarello|person_name
Marc Webb|Tom Sierchio|person_name
Marc Wootton|Alec Sokolow|person_name
Marc van Uchelen|Kelly Hu|person_name
Marcel Achard|Paul Lukas|person_name
Marcel Aymé|Robert Penn Warren|person_name
Marcel Camus|Giles Foden|person_name
Marcel Carné|Arto Paasilinna|person_name
Marcel Dalio|Morris Chestnut|person_name
Marcel Journet|Anthony Abrams|person_name
Marcel Langenegger|Laurie Metcalf|person_name
Marcel Marceau|Terence Hill|person_name
Marcel Moussy|Monte Montgomery|person_name
Marcel Ophüls|Gary Winick|person_name
Marcel Pagnol|Max Riemelt|person_name
Marcel Proust|Kevin Tancharoen|person_name
Marcel Sarmiento|Katherine Leslie Moore|person_name
Marceline Day|Michael Constantine|person_name
Marcell Jankovics|Alexander Korda|person_name
Marcelle Maurette|R. Wright Campbell|person_name
Marcello Fondato|Juliet Berto|person_name
Marcello Mastroianni|Cliff Bogart|person_name
Marcello Pagliero|Jack MacGowran|person_name
Marcelo Birmajer|Susan Saint James|person_name
Marcelo Figueras|James Cromwell|person_name
Marcelo Galvão|Todd Armstrong|person_name
Marcelo Piñeyro|David Nicholls|person_name
March of the Penguins|Navy Blues|title
March or Die|Cruising|title
Marci X|Parallel Sons|title
Marcia Davenport|Laz Alonso|person_name
Marcia Gay Harden|Frank Herbert|person_name
Marcia Jean Kurtz|Alan Hale|person_name
Marcia McBroom|Josh Green|person_name
Marcia Rodd|Muriel Spark|person_name
Marcia Strassman|Tom Hanks|person_name
Marco Bellocchio|Colin Teague|person_name
Marco Brambilla|Michael Downing|person_name
Marco Denevi|Johnny Cash|person_name
Marco Ferreri|Michael Rispoli|person_name
Marco Hofschneider|Susan Cabot|person_name
Marco Kreuzpaintner|Claudia Cardinale|person_name
